Station,StationUniqueId,Id,Type,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,IsManagedByTfL,AskStaff,RadarKey,OpeningHours,OpensWithStation,ClosesWithStation,MonOpening1,MonClosing1,MonOpening2,MonClosing2,TueOpening1,TueClosing1,TueOpening2,TueClosing2,WedOpening1,WedClosing1,WedOpening2,WedClosing2,ThuOpening1,ThuClosing1,ThuOpening2,ThuClosing2,FriOpening1,FriClosing1,FriOpening2,FriClosing2,SatOpening1,SatClosing1,SatOpening2,SatClosing2,SunOpening1,SunClosing1,SunOpening2,SunClosing2,BankHolidayOpening1,BankHolidayClosing1,BankHolidayOpening2,BankHolidayClosing2
,940GZZLUEPK,2,Female,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUEPK,3,Unisex,TRUE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUFLP,1,Male,FALSE,FALSE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUFLP,2,Female,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUFYC,3,Unisex,TRUE,FALSE,TRUE,Located on platform 3,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUFYR,1,Male,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUFYR,2,Female,TRUE,TRUE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUGGH,1,Male,FALSE,FALSE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUGGH,2,Female,FALSE,FALSE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,940GZZLUHBT,1,Male,FALSE,FALSE,TRUE,Located on platform 1,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
